word_id,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
0,0.71276087,-0.8636598,-0.56806403,-0.57973015,-0.15070942,-0.3541067,0.024046304,0.8780155,-0.82066363,-0.16703188
1,0.7464436,-0.70750034,-0.695589,-0.16713613,-0.21557489,-0.3312702,0.4707004,0.48738834,-0.6629941,0.7294985
2,0.38925064,-0.9024997,-0.74927455,-0.77798253,-0.37261868,-0.47561553,0.23176171,0.62501264,-0.49785832,-0.16813806
3,0.025621617,-0.9568493,-1.0856779,-0.46173802,-0.30048227,-0.4402489,0.60482764,0.25002155,-0.5459485,-0.47495335
4,0.08403336,-0.4811134,-1.1291444,-0.055256486,-0.46413755,-0.5363778,0.4460682,0.20813555,-0.41529223,-0.6688814
5,0.019056182,-0.737647,-1.1239966,-0.21738476,-0.44235632,0.10177306,0.20792055,-0.027781924,-0.60370237,-0.3532944
6,0.23955481,-0.31737098,-0.87326336,-0.4558954,-0.55161685,0.31891644,0.10310304,0.1672864,-0.5630789,-0.20060988
7,0.57446766,-0.49926788,-0.85338527,-0.18729962,-0.73297465,0.024522707,0.04879464,-0.20045829,-0.28940907,0.12957014
8,0.04309327,-0.24711648,-0.5245871,-0.65281266,-0.7675049,0.13479792,0.45571116,-0.05855661,-0.72282565,-0.3349535
9,-0.010738812,-0.020589368,-0.73508126,-0.30604073,-0.91126883,0.011104794,0.40098748,-0.55465245,-0.3012258,-0.52509433
10,0.20358108,-0.31662172,-0.33881328,0.109246135,-0.8616727,0.545183,-0.20684241,-0.5754654,-0.192994,-0.9208469
11,0.33879167,0.31705156,-0.69807386,-0.10576355,-0.85579884,0.60691285,-0.081490666,-0.6087018,-0.434598,-0.7024252
12,-0.10232498,0.24394815,0.20658438,0.6832479,-0.23896997,0.17672203,-0.5548965,-0.09014684,0.33975136,-0.07201227
13,0.6305379,0.33095908,-0.18137108,0.22532769,-0.7203138,0.6644288,0.5500007,-0.45536745,-0.08564703,-0.1368235
14,0.40387303,0.29108927,0.34374815,0.1839803,-0.5250681,0.23508589,0.5290772,-0.56904566,-0.59385836,-0.43112114
15,0.25019437,0.86093163,0.20704381,0.22661944,-0.29932886,0.58883077,0.23279592,-0.2131878,-0.12781416,-0.23611356
16,0.49153632,0.45676127,0.45546296,-0.09650773,-0.33179536,0.26411584,-0.13438065,-0.54371965,-0.55443144,0.09917619
